"Drug","MW","IndividualId","CL_L_h_kg","Vc_L_kg","Q_L_h_kg","Vp_L_kg","Rtot_nM","kdeg_h","kint_h","Kss_nM"
"Avelumab",147000,19,0.000900155373562623,0.0324095897391596,0.00239844752781955,0.0456819143050623,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,20,0.000722527369894724,0.0440145754906004,0.00232342711239126,0.0424615581252202,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,21,0.000611965849439346,0.042198681750118,0.0012763825534443,0.0526675231295941,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,22,0.000853317626257694,0.0335957144637551,0.000912319519242262,0.0217008603745278,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,23,0.00128098297823941,0.0593577650414527,0.00214198234741795,0.0332266813934895,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,24,0.002205162688406,0.0366594593849351,0.00104064266423424,0.0550496813551758,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,25,0.00127193211555836,0.0548957152185895,0.00121399212698921,0.0392078176362477,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,26,0.00166863094847681,0.0794047965033663,0.00359394313392077,0.0404801145347031,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,27,0.00163578954553227,0.0337100064878688,0.00264696281857078,0.0332532671715576,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,28,0.00110604131300121,0.0415951895528351,0.00131748067732236,0.0305201418319559,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,29,0.000845015727192762,0.0314003133966282,0.000930919143490081,0.0490404663442265,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,30,0.00148411235192669,0.077454595297835,0.00214762416850933,0.0439308527254192,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,31,0.00119335959953604,0.0346530154259092,0.00164781505969357,0.0581831088632823,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,32,0.00167302385121914,0.0413129902828222,0.00126363873384556,0.0340143620518601,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,33,0.00113429405971885,0.0370459650186271,0.00141042131261932,0.0284846473856853,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,34,0.00100867983620261,0.0312102153420024,0.000708458388158062,0.0324071138022635,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,35,0.00270552412750802,0.0403413792532133,0.00175655645501836,0.0391469099817422,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,36,0.000986228628946201,0.0634465043846018,0.000787353421703002,0.0476647246206571,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,37,0.00107155557575547,0.0659935195698551,0.00176979772532364,0.0333759699353857,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,38,0.00185951823739125,0.0702013027562118,0.001206178703344,0.0344480107366338,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,39,0.00195988697004181,0.0435730618286662,0.00497341242355804,0.0346863621626116,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,40,0.00102077342460013,0.0499613069547159,0.00202910427604,0.0511274129397471,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,41,0.000964714398973603,0.0405678559471024,0.00149743965767157,0.0886264515412957,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,42,0.00105172421186326,0.039669859289735,0.00275227397397366,0.0679532701104919,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,43,0.00106893905707989,0.0474355560531062,0.00168750366009131,0.0316236366095147,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,44,0.00171082668038665,0.0281081672545149,0.00334287221584638,0.0525065859984935,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,45,0.000571700161898465,0.03651053617716,0.00285082475962989,0.0281793515331648,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,46,0.00111747841038768,0.0659011937307424,0.000992078310712456,0.0276075056064237,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,47,0.000844183955303549,0.0294561815490721,0.00218956310656764,0.0321797321134028,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,48,0.001061663954498,0.0297621829264085,0.0028400348887894,0.0417349861410617,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,49,0.00190634622454244,0.0817478723218543,0.00221350627158727,0.0391673908560354,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,50,0.00102836596642948,0.0890829558874251,0.00199574732172233,0.0531309887765227,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,51,0.00260939180928233,0.0558758588093877,0.00134232123913083,0.0365099961344767,0.609,0.0426,0.25,0.158529501915709
