"Drug","Design","N_per_group","Total_animals","Dose_mgkg","Endpoint","Fraction_within_2fold","Median_fold_error","Fold_error_5th_percentile","Fold_error_95th_percentile"
"Pembrolizumab","3 dose groups",2,6,10,"AUC0-28d",1,0.990521060469442,0.682027264951676,1.4275659685272
"Pembrolizumab","3 dose groups",2,6,10,"Cmax",0.988,0.973494101201041,0.597077335890618,1.50991978448453
"Pembrolizumab","3 dose groups",2,6,10,"Terminal clearance",0.995,0.989811510882488,0.64388677483988,1.40803692601888
"Pembrolizumab","3 dose groups",3,9,0.3,"AUC0-28d",1,0.998117951520516,0.738703118465374,1.32080211389315
"Pembrolizumab","3 dose groups",3,9,0.3,"Cmax",0.997,0.984667309736065,0.661662702234293,1.39774748138104
"Pembrolizumab","3 dose groups",3,9,0.3,"Terminal clearance",1,0.974119858917195,0.67971771964727,1.32597182368874
"Pembrolizumab","3 dose groups",3,9,3,"AUC0-28d",1,0.993152151174434,0.741419303285144,1.35169235083964
"Pembrolizumab","3 dose groups",3,9,3,"Cmax",0.994,0.964705040040603,0.648851234940307,1.43972466237455
"Pembrolizumab","3 dose groups",3,9,3,"Terminal clearance",0.997,0.974779537545628,0.673858447669899,1.29765885496285
"Pembrolizumab","3 dose groups",3,9,10,"AUC0-28d",1,1.00522269951903,0.747658232976586,1.32867845149074
"Pembrolizumab","3 dose groups",3,9,10,"Cmax",0.994,0.983418259372094,0.67490632240469,1.47092761032273
"Pembrolizumab","3 dose groups",3,9,10,"Terminal clearance",0.999,0.976187587457471,0.677847531078197,1.35103872732374
"Pembrolizumab","3 dose groups",4,12,0.3,"AUC0-28d",1,0.98952090623527,0.769925121761044,1.25516270746565
"Pembrolizumab","3 dose groups",4,12,0.3,"Cmax",1,0.975962450255854,0.714627575622054,1.36431899133297
"Pembrolizumab","3 dose groups",4,12,0.3,"Terminal clearance",1,0.96658611778711,0.736564603991928,1.24621627560472
"Pembrolizumab","3 dose groups",4,12,3,"AUC0-28d",1,0.999219567630787,0.775510415821984,1.2865623677466
"Pembrolizumab","3 dose groups",4,12,3,"Cmax",1,0.974052228064331,0.718596281708107,1.35847612406386
"Pembrolizumab","3 dose groups",4,12,3,"Terminal clearance",1,0.980815199005853,0.715563923385855,1.27554938804231
"Pembrolizumab","3 dose groups",4,12,10,"AUC0-28d",1,0.995500579784735,0.780935728798709,1.28785533823768
"Pembrolizumab","3 dose groups",4,12,10,"Cmax",0.999,0.97385621016843,0.690422120778855,1.3638965890478
"Pembrolizumab","3 dose groups",4,12,10,"Terminal clearance",1,0.986132166670879,0.715869761057653,1.28434888973422
