"Scenario_name","Drug","IndividualId","Dose_mgkg","Rich_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose10","Atezolizumab","97",10,41639.292095936
"Atezolizumab_Monkey_Dose10","Atezolizumab","98",10,29401.3894767587
"Atezolizumab_Monkey_Dose10","Atezolizumab","99",10,50446.1243758755
"Atezolizumab_Monkey_Dose3","Atezolizumab","1",3,10096.4430218175
"Atezolizumab_Monkey_Dose3","Atezolizumab","10",3,15492.301255356
"Atezolizumab_Monkey_Dose3","Atezolizumab","100",3,11557.4154663145
"Atezolizumab_Monkey_Dose3","Atezolizumab","11",3,12107.1381805445
"Atezolizumab_Monkey_Dose3","Atezolizumab","12",3,13500.0928988524
"Atezolizumab_Monkey_Dose3","Atezolizumab","13",3,19981.6776206587
"Atezolizumab_Monkey_Dose3","Atezolizumab","14",3,13029.5550322991
"Atezolizumab_Monkey_Dose3","Atezolizumab","15",3,14590.3918236217
"Atezolizumab_Monkey_Dose3","Atezolizumab","16",3,13709.314742106
"Atezolizumab_Monkey_Dose3","Atezolizumab","17",3,10309.7806939472
"Atezolizumab_Monkey_Dose3","Atezolizumab","18",3,12047.6804947686
"Atezolizumab_Monkey_Dose3","Atezolizumab","19",3,12633.6354633383
"Atezolizumab_Monkey_Dose3","Atezolizumab","2",3,10459.9240423882
"Atezolizumab_Monkey_Dose3","Atezolizumab","20",3,13186.1538547694
"Atezolizumab_Monkey_Dose3","Atezolizumab","21",3,15934.6492269447
"Atezolizumab_Monkey_Dose3","Atezolizumab","22",3,9787.45875472219
"Atezolizumab_Monkey_Dose3","Atezolizumab","23",3,14994.4068749806
"Atezolizumab_Monkey_Dose3","Atezolizumab","24",3,10523.4318358348
"Atezolizumab_Monkey_Dose3","Atezolizumab","25",3,11277.228097276
"Atezolizumab_Monkey_Dose3","Atezolizumab","26",3,10568.2746736056
"Atezolizumab_Monkey_Dose3","Atezolizumab","27",3,11547.2158517732
"Atezolizumab_Monkey_Dose3","Atezolizumab","28",3,11313.5624861002
"Atezolizumab_Monkey_Dose3","Atezolizumab","29",3,14485.2679649067
"Atezolizumab_Monkey_Dose3","Atezolizumab","3",3,8413.30964450531
"Atezolizumab_Monkey_Dose3","Atezolizumab","30",3,11417.7189869994
"Atezolizumab_Monkey_Dose3","Atezolizumab","31",3,9087.54739145585
"Atezolizumab_Monkey_Dose3","Atezolizumab","32",3,12052.4359153352
"Atezolizumab_Monkey_Dose3","Atezolizumab","33",3,15090.1042075164
"Atezolizumab_Monkey_Dose3","Atezolizumab","34",3,12294.3335317273
"Atezolizumab_Monkey_Dose3","Atezolizumab","35",3,11643.8622103275
"Atezolizumab_Monkey_Dose3","Atezolizumab","36",3,12501.5650723094
"Atezolizumab_Monkey_Dose3","Atezolizumab","37",3,12728.6571616069
"Atezolizumab_Monkey_Dose3","Atezolizumab","38",3,8413.31309990194
"Atezolizumab_Monkey_Dose3","Atezolizumab","39",3,8388.51006100334
"Atezolizumab_Monkey_Dose3","Atezolizumab","4",3,13403.4183970996
"Atezolizumab_Monkey_Dose3","Atezolizumab","40",3,8817.2612919623
