"Scenario_name","Drug","IndividualId","Dose_mgkg","Sparse_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose3","Atezolizumab","11",3,12188.0846617304
"Atezolizumab_Monkey_Dose3","Atezolizumab","12",3,13665.4114358214
"Atezolizumab_Monkey_Dose3","Atezolizumab","13",3,20131.3987259364
"Atezolizumab_Monkey_Dose3","Atezolizumab","14",3,13102.5518551201
"Atezolizumab_Monkey_Dose3","Atezolizumab","15",3,14668.6821584317
"Atezolizumab_Monkey_Dose3","Atezolizumab","16",3,13760.5305182611
"Atezolizumab_Monkey_Dose3","Atezolizumab","17",3,10380.8451942232
"Atezolizumab_Monkey_Dose3","Atezolizumab","18",3,12143.8692739523
"Atezolizumab_Monkey_Dose3","Atezolizumab","19",3,12725.2664072645
"Atezolizumab_Monkey_Dose3","Atezolizumab","2",3,10516.2127444614
"Atezolizumab_Monkey_Dose3","Atezolizumab","20",3,13288.9944359987
"Atezolizumab_Monkey_Dose3","Atezolizumab","21",3,16056.8431154214
"Atezolizumab_Monkey_Dose3","Atezolizumab","22",3,9849.35015812656
"Atezolizumab_Monkey_Dose3","Atezolizumab","23",3,15073.4121974636
"Atezolizumab_Monkey_Dose3","Atezolizumab","24",3,10692.8351210683
"Atezolizumab_Monkey_Dose3","Atezolizumab","25",3,11360.9649771719
"Atezolizumab_Monkey_Dose3","Atezolizumab","26",3,10659.8586679222
"Atezolizumab_Monkey_Dose3","Atezolizumab","27",3,11629.4243372499
"Atezolizumab_Monkey_Dose3","Atezolizumab","28",3,11428.7840178755
"Atezolizumab_Monkey_Dose3","Atezolizumab","29",3,14541.9867825081
"Atezolizumab_Monkey_Dose3","Atezolizumab","3",3,8458.67318575285
"Atezolizumab_Monkey_Dose3","Atezolizumab","30",3,11468.169306093
"Atezolizumab_Monkey_Dose3","Atezolizumab","31",3,9151.69748095409
"Atezolizumab_Monkey_Dose3","Atezolizumab","32",3,12084.6590091701
"Atezolizumab_Monkey_Dose3","Atezolizumab","33",3,15209.8800026656
"Atezolizumab_Monkey_Dose3","Atezolizumab","34",3,12359.9206118828
"Atezolizumab_Monkey_Dose3","Atezolizumab","35",3,11694.302662731
"Atezolizumab_Monkey_Dose3","Atezolizumab","36",3,12591.5241251353
"Atezolizumab_Monkey_Dose3","Atezolizumab","37",3,12806.1170888949
"Atezolizumab_Monkey_Dose3","Atezolizumab","38",3,8448.14402156268
