"Species","Target","Molecule","Dose (mg/kg)","Parameter varied","Variation (fold)","Varied parameter value","Parameter unit","Reference terminal CL (L/day)","Varied terminal CL (L/day)","Delta terminal CL (%)","Normalized sensitivity coefficient","Normalized sensitivity index (no sensitivity = 1)"
"Human","PD-L1","Avelumab",20,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.233161754818325,0.23304980918016,-0.0480120070515122,0.000208563569060846,1.00020856356906
"Human","PD-L1","Avelumab",20,"Target reference concentration",10,0.00609,"µmol/l",0.233161754818325,0.234284135284302,0.481374171699711,0.00208556579504669,1.00208556579505
"Human","PD-L1","Avelumab",20,"kdeg",0.1,7.1e-05,"1/min",0.233161754818325,0.233051547137472,-0.0472666200932781,0.000205324851729689,1.00020532485173
"Human","PD-L1","Avelumab",20,"kdeg",10,0.0071,"1/min",0.233161754818325,0.234263884907944,0.472689052489739,0.00204802587881515,1.00204802587882
"Human","PD-L1","Avelumab",20,"kint",0.1,0.000416666666666667,"1/min",0.233161754818325,0.233161979954977,9.65581393952419e-05,-4.19346468765444e-07,0.999999580653531
"Human","PD-L1","Avelumab",20,"kint",10,0.0416666666666667,"1/min",0.233161754818325,0.23316183578691,3.47263577893386e-05,1.50814629458865e-07,1.00000015081463
"Human","TNFA","Adalimumab",0.5,"Target reference concentration",0.1,1e-07,"µmol/l",0.227564661263918,0.227564232029248,-0.000188620969432396,8.1917123452192e-07,1.00000081917123
"Human","TNFA","Adalimumab",0.5,"Target reference concentration",10,1e-05,"µmol/l",0.227564661263918,0.227564232029248,-0.000188620969432396,-8.1917123452192e-07,0.999999180828765
"Human","TNFA","Adalimumab",0.5,"kdeg",0.1,0.000371666666666667,"1/min",0.227564661263918,0.227564232029248,-0.000188620969432396,8.1917123452192e-07,1.00000081917123
"Human","TNFA","Adalimumab",0.5,"kdeg",10,0.0371666666666667,"1/min",0.227564661263918,0.227564232029248,-0.000188620969432396,-8.1917123452192e-07,0.999999180828765
"Human","TNFA","Adalimumab",0.5,"kint",0.1,0.00144333333333333,"1/min",0.227564661263918,0.227564232029248,-0.000188620969432396,8.1917123452192e-07,1.00000081917123
"Human","TNFA","Adalimumab",0.5,"kint",10,0.144333333333333,"1/min",0.227564661263918,0.227564232029248,-0.000188620969432396,-8.1917123452192e-07,0.999999180828765
"Human","TNFA","Adalimumab",1,"Target reference concentration",0.1,1e-07,"µmol/l",0.227662139243229,0.227661476801868,-0.000290975637473601,1.2636929757509e-06,1.00000126369298
"Human","TNFA","Adalimumab",1,"Target reference concentration",10,1e-05,"µmol/l",0.227662139243229,0.227661476801868,-0.000290975637473601,-1.2636929757509e-06,0.999998736307024
"Human","TNFA","Adalimumab",1,"kdeg",0.1,0.000371666666666667,"1/min",0.227662139243229,0.227661476801868,-0.000290975637473601,1.2636929757509e-06,1.00000126369298
"Human","TNFA","Adalimumab",1,"kdeg",10,0.0371666666666667,"1/min",0.227662139243229,0.227661476801868,-0.000290975637473601,-1.2636929757509e-06,0.999998736307024
"Human","TNFA","Adalimumab",1,"kint",0.1,0.00144333333333333,"1/min",0.227662139243229,0.227661476801868,-0.000290975637473601,1.2636929757509e-06,1.00000126369298
"Human","TNFA","Adalimumab",1,"kint",10,0.144333333333333,"1/min",0.227662139243229,0.227661476801868,-0.000290975637473601,-1.2636929757509e-06,0.999998736307024
"Human","TNFA","Adalimumab",3,"Target reference concentration",0.1,1e-07,"µmol/l",0.228052816403607,0.228053240442672,0.000185938973285005,-8.07521949935558e-07,0.99999919247805
"Human","TNFA","Adalimumab",3,"Target reference concentration",10,1e-05,"µmol/l",0.228052816403607,0.228053240442672,0.000185938973285005,8.07521949935558e-07,1.00000080752195
"Human","TNFA","Adalimumab",3,"kdeg",0.1,0.000371666666666667,"1/min",0.228052816403607,0.228053240442672,0.000185938973285005,-8.07521949935558e-07,0.99999919247805
"Human","TNFA","Adalimumab",3,"kdeg",10,0.0371666666666667,"1/min",0.228052816403607,0.228053240442672,0.000185938973285005,8.07521949935558e-07,1.00000080752195
"Human","TNFA","Adalimumab",3,"kint",0.1,0.00144333333333333,"1/min",0.228052816403607,0.228053240442672,0.000185938973285005,-8.07521949935558e-07,0.99999919247805
"Human","TNFA","Adalimumab",3,"kint",10,0.144333333333333,"1/min",0.228052816403607,0.228053240442672,0.000185938973285005,8.07521949935558e-07,1.00000080752195
"Human","TNFA","Adalimumab",5,"Target reference concentration",0.1,1e-07,"µmol/l",0.228446192677407,0.228446531311018,0.00014823342273651,-6.43769098140617e-07,0.999999356230902
"Human","TNFA","Adalimumab",5,"Target reference concentration",10,1e-05,"µmol/l",0.228446192677407,0.228446531311018,0.00014823342273651,6.43769098140617e-07,1.0000006437691
"Human","TNFA","Adalimumab",5,"kdeg",0.1,0.000371666666666667,"1/min",0.228446192677407,0.228446531311018,0.00014823342273651,-6.43769098140617e-07,0.999999356230902
"Human","TNFA","Adalimumab",5,"kdeg",10,0.0371666666666667,"1/min",0.228446192677407,0.228446531311018,0.00014823342273651,6.43769098140617e-07,1.0000006437691
"Human","TNFA","Adalimumab",5,"kint",0.1,0.00144333333333333,"1/min",0.228446192677407,0.228446531311018,0.00014823342273651,-6.43769098140617e-07,0.999999356230902
"Human","TNFA","Adalimumab",5,"kint",10,0.144333333333333,"1/min",0.228446192677407,0.228446531311018,0.00014823342273651,6.43769098140617e-07,1.0000006437691
"Human","TNFA","Adalimumab",10,"Target reference concentration",0.1,1e-07,"µmol/l",0.229438487390494,0.229438758335691,0.000118090561174178,-5.12860488008184e-07,0.999999487139512
